iter	Passed	Remaining
972	21922	608
973	21943	585
974	21965	563
975	21989	540
976	22011	518
977	22033	495
978	22058	473
979	22080	450
980	22102	428
981	22125	405
982	22148	383
983	22173	360
984	22195	338
985	22219	315
986	22243	292
987	22265	270
988	22287	247
989	22309	225
990	22329	202
991	22352	180
992	22375	157
993	22398	135
994	22420	112
995	22443	90
996	22466	67
997	22488	45
998	22510	22
999	22531	0
